2026-04-22 18:36:33 | INFO     | src.features.technical_indicators | [CVX] Feature matrix ready: 250 rows x 98 columns
2026-04-22 18:36:33 | INFO     | src.features.technical_indicators | [AMD] Building features from 501 bars
2026-04-22 18:36:33 | WARNING  | src.features.technical_indicators | Candlestick patterns failed: module 'pandas_ta' has no attribute 'cdl_hammer'
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [AMD] Trend: +25 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [AMD] Momentum: +13 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [AMD] Volatility: +18 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [AMD] Volume: +11 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [AMD] Returns: +18 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [AMD] Patterns: +4 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [AMD] Regime: +4 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [AMD] Dropped 251 warm-up rows (250 rows remaining)
2026-04-22 18:36:33 | INFO     | src.features.technical_indicators | [AMD] Feature matrix ready: 250 rows x 98 columns
2026-04-22 18:36:33 | INFO     | src.features.technical_indicators | [GLD] Building features from 501 bars
2026-04-22 18:36:33 | WARNING  | src.features.technical_indicators | Candlestick patterns failed: module 'pandas_ta' has no attribute 'cdl_hammer'
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [GLD] Trend: +25 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [GLD] Momentum: +13 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [GLD] Volatility: +18 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [GLD] Volume: +11 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [GLD] Returns: +18 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [GLD] Patterns: +4 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [GLD] Regime: +4 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [GLD] Dropped 251 warm-up rows (250 rows remaining)
2026-04-22 18:36:33 | INFO     | src.features.technical_indicators | [GLD] Feature matrix ready: 250 rows x 98 columns
2026-04-22 18:36:33 | INFO     | src.features.technical_indicators | [BTC-USD] Building features from 731 bars
2026-04-22 18:36:33 | WARNING  | src.features.technical_indicators | Candlestick patterns failed: module 'pandas_ta' has no attribute 'cdl_hammer'
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [BTC-USD] Trend: +25 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [BTC-USD] Momentum: +13 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [BTC-USD] Volatility: +18 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [BTC-USD] Volume: +11 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [BTC-USD] Returns: +18 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [BTC-USD] Patterns: +4 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [BTC-USD] Regime: +4 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [BTC-USD] Dropped 251 warm-up rows (480 rows remaining)
2026-04-22 18:36:33 | INFO     | src.features.technical_indicators | [BTC-USD] Feature matrix ready: 480 rows x 98 columns
2026-04-22 18:36:33 | INFO     | src.features.technical_indicators | [DOL.TO] Building features from 503 bars
2026-04-22 18:36:33 | WARNING  | src.features.technical_indicators | Candlestick patterns failed: module 'pandas_ta' has no attribute 'cdl_hammer'
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [DOL.TO] Trend: +25 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [DOL.TO] Momentum: +13 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [DOL.TO] Volatility: +18 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [DOL.TO] Volume: +11 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [DOL.TO] Returns: +18 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [DOL.TO] Patterns: +4 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [DOL.TO] Regime: +4 features
2026-04-22 18:36:33 | DEBUG    | src.features.technical_indicators | [DOL.TO] Dropped 251 warm-up rows (252 rows remaining)
2026-04-22 18:36:33 | INFO     | src.features.technical_indicators | [DOL.TO] Feature matrix ready: 252 rows x 98 columns
2026-04-22 18:36:33 | INFO     | src.features.technical_indicators | [VFV.TO] Building features from 503 bars
2026-04-22 18:36:34 | WARNING  | src.features.technical_indicators | Candlestick patterns failed: module 'pandas_ta' has no attribute 'cdl_hammer'
2026-04-22 18:36:34 | DEBUG    | src.features.technical_indicators | [VFV.TO] Trend: +25 features
2026-04-22 18:36:34 | DEBUG    | src.features.technical_indicators | [VFV.TO] Momentum: +13 features
2026-04-22 18:36:34 | DEBUG    | src.features.technical_indicators | [VFV.TO] Volatility: +18 features
2026-04-22 18:36:34 | DEBUG    | src.features.technical_indicators | [VFV.TO] Volume: +11 features
2026-04-22 18:36:34 | DEBUG    | src.features.technical_indicators | [VFV.TO] Returns: +18 features
2026-04-22 18:36:34 | DEBUG    | src.features.technical_indicators | [VFV.TO] Patterns: +4 features
2026-04-22 18:36:34 | DEBUG    | src.features.technical_indicators | [VFV.TO] Regime: +4 features
2026-04-22 18:36:34 | DEBUG    | src.features.technical_indicators | [VFV.TO] Dropped 251 warm-up rows (252 rows remaining)
2026-04-22 18:36:34 | INFO     | src.features.technical_indicators | [VFV.TO] Feature matrix ready: 252 rows x 98 columns
2026-04-22 18:36:34 | INFO     | src.features.technical_indicators | [CSU.TO] Building features from 503 bars
